date,article_id,country_code,sold_units
2020-03-03,3448,AUS,2
2021-04-21,409,RUS,1
2021-06-03,362,FRA,1
2020-02-15,5984,NLD,1
2020-06-03,3448,DEU,1
2020-02-27,3446,RUS,1
2021-06-22,332,ITA,1
2019-09-26,3446,ESP,1
2020-08-19,1132,DEU,1
2021-03-16,1579,GBR,1
2020-10-25,3446,USA,2
2020-04-20,3576,USA,2
2021-06-14,3576,BEL,1
2021-05-22,362,FRA,1
2021-02-21,4139,USA,3
2021-03-28,3576,RUS,2
2020-06-28,3417,ESP,2
2020-09-24,3448,USA,2
2021-08-23,3448,POL,1
2019-08-13,1516,RUS,1
2021-03-23,5984,ESP,1
2021-04-27,3576,CAN,1
2020-01-20,1579,RUS,1
2020-06-22,2902,GBR,1
2021-01-08,1132,USA,1
2021-05-05,1923,RUS,1
2021-02-19,4139,ESP,1
2021-05-30,1579,POL,1
2020-10-31,2902,FRA,3
2019-08-18,332,AUS,1
2020-02-08,362,AUS,1
2020-09-29,1516,ROU,1
2021-02-03,332,USA,1
2021-06-23,362,RUS,2
2020-10-10,1923,USA,2
2020-01-11,332,ITA,1
2020-10-23,5972,GBR,1
2020-01-28,362,GBR,1
2021-06-21,3576,GBR,1
2021-07-19,3448,RUS,2
2021-08-07,5972,USA,1
2020-07-24,332,RUS,2
2020-03-30,1516,USA,1
2020-09-08,332,AUS,1
2020-03-11,332,RUS,1
2021-02-11,409,GBR,1
2020-03-12,362,GBR,1
2020-10-29,1923,UKR,7
2021-07-01,1516,CAN,4
2020-07-16,362,USA,1
2021-02-08,409,RUS,2
2019-09-22,332,USA,3
2020-12-28,1132,USA,1
2021-07-08,2902,USA,1
2021-07-23,362,DEU,2
2021-06-08,5984,ESP,1
2021-05-22,362,AUS,1
2021-07-31,3417,USA,1
2020-01-17,5984,GBR,1
2021-08-20,3417,RUS,1
2021-06-25,3448,NLD,1
2021-02-07,362,FRA,1
2020-01-27,362,USA,1
2021-04-13,5984,ROU,1
2021-05-06,1923,RUS,4
2019-12-21,2902,ESP,8
2021-02-22,5984,USA,1
2021-04-27,1579,USA,1
2020-02-15,1132,USA,1
2020-10-28,3448,AUS,2
2021-04-19,3576,USA,2
2020-08-30,2902,UKR,1
2020-06-08,3448,USA,1
2020-02-27,2902,GBR,1
2021-03-30,3448,RUS,1
2020-11-21,5972,USA,2
2020-09-07,362,RUS,2
2021-06-20,2902,FRA,1
2021-03-05,332,ESP,1
2021-03-07,3417,GBR,1
2019-12-20,332,BEL,5
2021-07-09,362,UKR,1
2020-06-26,362,USA,3
2021-01-24,1923,POL,9
2020-09-05,362,USA,5
2021-05-28,3448,USA,3
2021-08-08,3417,FRA,1
2020-07-12,362,USA,2
2021-01-12,409,RUS,1
2021-06-22,332,UKR,1
2019-09-28,332,AUS,4
2020-04-10,332,USA,1
2020-12-09,1132,ITA,1
2021-03-27,362,DEU,3
2020-10-15,2902,USA,2
2020-12-31,5972,USA,1
2021-06-04,5984,GRC,2
2020-10-05,3448,RUS,1
2021-05-21,1579,ITA,1
2019-12-24,332,USA,1
2021-06-10,3448,RUS,101
2020-05-08,1579,SWE,1
2020-09-18,362,DEU,1
2020-02-13,2902,USA,1
2020-09-30,362,RUS,2
2020-12-23,332,DEU,2
2019-12-21,2902,UKR,8
2020-07-25,2902,GBR,3
2019-08-19,409,RUS,1
2020-11-01,2902,ITA,3
2020-09-29,332,USA,3
2021-07-24,1516,USA,3
2021-05-02,3417,USA,2
2021-04-09,362,USA,2
2020-01-22,1579,GBR,1
2020-07-06,1579,RUS,1
2020-04-16,3417,RUS,4
2020-11-27,1923,USA,3
2021-01-28,3576,USA,2
2021-01-22,4139,USA,2
2021-08-25,332,USA,1
2020-10-27,3448,USA,7
2021-07-08,2902,RUS,1
2019-08-09,1579,USA,1
2019-10-15,3576,RUS,2
2020-01-11,1579,UKR,1
2020-06-11,3448,ESP,2
2021-05-10,5972,UKR,2
2019-10-08,3446,DEU,1
2019-08-31,1516,USA,1
2020-01-11,1579,ESP,1
2020-02-28,332,RUS,1
2021-08-05,1579,USA,2
2021-06-02,409,GBR,1
2020-09-08,332,FRA,1
2021-02-13,4139,USA,3
2019-10-05,3417,ITA,1
2021-02-20,5972,CZE,2
2021-05-03,5984,ITA,1
2020-04-22,362,ITA,1
2020-04-11,1132,USA,5
2020-11-02,1579,USA,1
2019-08-26,332,USA,2
2020-11-25,332,DEU,2
2021-04-07,5984,USA,2
2021-01-23,4139,GBR,8
2021-04-27,1923,DEU,1
2021-08-07,362,ITA,2
2021-07-27,1132,ITA,3
2020-08-25,3448,RUS,1
2020-08-05,3446,UKR,4
2021-01-09,5972,POL,1
2021-08-11,3446,UKR,1
2019-09-03,5984,ITA,1
2021-06-19,362,AUS,1
2021-08-20,3417,ESP,1
2020-06-01,3417,FRA,1
2020-08-07,3417,ROU,1
2021-08-26,4139,GBR,4
2021-06-26,4139,RUS,2
2020-09-10,362,RUS,1
2019-09-17,1579,UKR,1
2019-11-08,5984,USA,2
2020-05-01,409,DEU,1
2020-10-31,2902,RUS,3
2021-08-17,1516,POL,8
2021-02-28,5972,NLD,1
2020-10-10,3448,RUS,2
2020-11-23,362,DEU,1
2020-07-26,3448,GBR,2
2020-12-31,5972,USA,1
2021-04-25,3576,POL,1
2021-05-16,4139,USA,1
2021-07-22,4139,ESP,1
2021-04-06,5984,FRA,2
2021-01-17,362,USA,1
2021-05-06,332,ITA,3
2021-05-19,409,USA,1
2019-09-20,3417,USA,1
2021-02-11,3576,ITA,1
2021-04-30,4139,FRA,2
2021-07-02,362,USA,6
2021-08-23,3576,RUS,1
2021-01-15,3446,DEU,1
2021-08-26,3448,USA,4
2020-08-11,362,FRA,1
2021-02-21,332,FRA,2
2021-08-16,1132,DEU,1
2020-06-08,3417,POL,4
2020-12-16,1923,DEU,3
2021-05-29,5984,FRA,2
2020-10-04,5972,RUS,1
2020-05-16,1579,USA,2
2020-12-21,332,USA,2
2019-12-13,332,DEU,2
2020-09-23,362,USA,1
2021-04-19,3446,RUS,1
2020-03-01,5972,AUS,2
2021-04-27,362,USA,2
2021-04-24,4139,DEU,5
2021-06-15,362,DEU,1
2021-02-19,362,ITA,1
2021-05-05,362,USA,3
2021-08-21,1132,DEU,3
2021-05-11,4139,RUS,2
2020-10-13,362,BEL,2
2021-02-21,362,CAN,1
2021-08-03,3448,POL,1
2021-03-10,3448,USA,2
2021-05-05,362,USA,3
2019-10-02,5972,RUS,1
2021-06-30,1923,UKR,5
2021-05-08,362,USA,1
2021-07-20,362,UKR,1
2020-12-24,1132,CAN,1
2021-08-22,332,AUS,1
2020-07-11,1579,ITA,1
2020-06-29,2902,ITA,1
2020-12-10,1923,POL,1
2020-09-05,3448,DEU,5
2020-08-26,1516,DEU,3
2021-06-12,3448,RUS,20
2019-12-17,3446,ITA,1
2020-06-22,3448,SWE,1
2019-12-28,3446,ITA,2
2019-12-28,3448,DEU,1
2020-02-04,362,RUS,1
2021-07-31,3576,USA,1
2021-07-01,332,RUS,2
2019-12-29,332,USA,4
2021-01-04,4139,GBR,2
2021-06-22,1579,GBR,2
2020-05-10,5984,USA,1
2019-11-09,3417,RUS,3
2019-11-23,332,AUS,1
2021-08-07,5984,RUS,2
2019-11-23,332,USA,1
2021-01-23,3576,USA,2
2020-10-30,3448,ITA,4
2021-02-09,3576,USA,3
2020-07-21,362,RUS,1
2020-08-19,3448,BEL,1
2021-04-02,1923,POL,1
2020-07-06,5972,UKR,2
2020-12-26,5972,USA,4
2020-06-08,3446,RUS,1
2019-08-05,3576,DEU,1
2021-02-17,1132,POL,1
2021-03-21,1923,RUS,3
2020-08-26,1516,USA,3
2020-07-20,362,GRC,1
2020-08-16,5984,FRA,1
2020-07-12,1132,RUS,1
2020-05-25,1132,DEU,1
2020-06-28,1132,RUS,2
2020-11-13,3448,DEU,2
2020-11-20,1579,FRA,1
2020-07-16,3448,USA,1
2020-11-09,2902,POL,2
2020-12-08,4139,GBR,2
2020-12-05,362,DEU,3
2020-10-07,5972,RUS,1
2020-11-05,362,RUS,1
2019-11-22,1579,USA,1
2019-12-12,3417,UKR,2
2020-08-13,3576,USA,1
2020-07-09,1132,ITA,1
2021-04-06,5972,ESP,1
2019-08-09,3576,USA,1
2021-06-22,4139,POL,1
2020-05-13,3448,GRC,1
2021-05-04,362,ROU,1
2019-12-29,332,USA,1
2020-04-29,3417,DEU,1
2019-07-28,5972,GBR,1
2019-09-30,5984,USA,2
2020-02-12,332,GBR,2
2020-04-01,1579,USA,1
2021-01-12,409,ITA,1
2020-10-30,332,GBR,1
2020-02-04,362,DEU,1
2021-02-07,1923,RUS,5
2021-07-14,4139,USA,2
2021-01-04,362,DEU,2
2021-04-19,3576,USA,2
2021-02-03,332,USA,1
2020-08-02,362,RUS,1
2020-12-12,362,RUS,1
2020-11-25,1132,GRC,2
2019-08-25,5972,USA,1
2020-08-20,2902,USA,3
2019-12-23,332,RUS,1
2021-08-17,409,USA,3
2020-08-02,1132,ESP,2
2021-08-12,1132,UKR,1
2021-06-23,362,ESP,2
2020-02-10,362,USA,1
2021-06-25,362,ROU,2
2020-11-20,3448,CAN,1
2020-09-20,409,DEU,2
2020-10-03,5972,POL,1
2019-11-15,3448,FRA,2
2021-08-10,1132,RUS,8
2021-05-17,1516,RUS,3
2019-07-21,1579,UKR,1
2020-09-10,5984,GRC,1
2020-02-15,2902,RUS,1
2020-08-01,362,AUS,2
2020-11-16,1132,POL,3
2019-11-29,332,USA,2
2019-12-05,3446,USA,1
2021-07-07,332,GBR,1
2021-01-10,362,RUS,1
2020-05-01,409,GBR,1
2021-08-01,1516,USA,8
2020-08-16,1132,ROU,2
2020-06-21,5984,BEL,1
2021-08-20,409,FRA,1
2020-06-07,1516,GBR,3
2021-05-08,332,POL,1
2020-02-21,2902,BEL,1
2021-03-11,1132,RUS,1
2021-08-14,2902,USA,1
2020-10-30,1579,FRA,1
2020-02-01,362,ESP,1
2021-08-29,1132,USA,2
2020-08-22,1516,USA,4
2021-02-04,332,FRA,2
2021-07-10,3448,USA,1
2020-08-30,1516,RUS,2
2020-02-16,332,USA,1
2020-04-07,1132,RUS,1
2021-04-27,3417,GBR,2
2020-09-19,3448,USA,1
2020-03-09,1132,USA,1
2020-09-06,3576,USA,2
2020-11-08,1132,USA,3
2021-05-13,1579,USA,1
2020-04-23,1516,DEU,1
2021-06-01,3448,CAN,1
2019-10-27,332,USA,2
2019-10-18,1579,USA,1
2021-08-18,332,ITA,1
2021-02-22,5984,USA,1
2021-05-25,3576,CAN,1
2021-07-29,1132,USA,1
2019-08-15,5972,AUS,2
2020-11-24,3448,USA,1
2019-12-23,5972,USA,3
2020-11-23,362,BEL,1
2020-11-22,5972,USA,1
2020-11-16,4139,FRA,1
2021-04-28,409,USA,4
2021-04-14,5984,UKR,1
2020-02-24,362,USA,1
2021-01-12,3448,USA,4
2020-10-24,362,GBR,4
2019-08-26,3446,USA,1
2019-12-31,332,GBR,1
2021-01-11,5972,FRA,3
2020-11-10,362,RUS,5
2020-04-11,1132,CAN,5
2019-10-14,3417,RUS,1
2019-11-25,5984,USA,2
2020-03-05,1132,DEU,3
2020-12-11,362,GBR,2
2021-06-26,2902,GBR,5
2019-08-05,5984,USA,2
2020-01-24,3417,GBR,1
2021-03-13,362,FRA,1
2020-12-16,1132,CZE,1
2020-07-11,1579,GBR,1
2020-06-23,1579,ROU,1
2020-09-02,362,ROU,1
2021-08-09,1579,USA,1
2020-11-09,362,PRT,1
2019-12-25,2902,ITA,2
2021-03-11,2902,DEU,1
2021-06-26,332,RUS,1
2021-08-18,409,DEU,1
2019-12-06,3448,PRT,1
2021-08-16,1132,USA,1
2020-07-21,362,RUS,1
2020-12-04,4139,ITA,2
2020-02-06,362,POL,1
2020-05-15,3417,UKR,2
2020-03-09,2902,USA,2
2021-04-13,1516,USA,2
2021-04-20,409,ITA,1
2020-05-27,1516,USA,2
2021-02-04,332,USA,1
2021-08-17,1579,AUS,1
2020-11-08,2902,RUS,4
2020-02-18,3446,USA,2
2019-11-25,332,ESP,2
2020-09-23,362,USA,1
2021-01-12,362,USA,1
2021-04-05,5972,RUS,1
2021-01-07,1579,DEU,1
2020-08-24,1132,CAN,1
2020-10-25,1516,FRA,3
2021-01-05,3448,GBR,6
2020-04-30,3576,USA,1
2021-02-06,332,USA,2
2021-05-22,362,USA,1
2021-07-03,1132,USA,3
2020-10-09,1132,USA,1
2021-06-26,5984,RUS,3
2021-01-21,362,ITA,1
2020-09-10,5972,USA,1
2020-08-21,2902,USA,2
2019-09-21,3446,USA,1
2020-02-21,5972,ESP,1
2021-07-31,362,RUS,2
2020-10-19,332,USA,1
2021-08-04,1516,RUS,5
2021-08-06,362,CAN,2
2020-09-16,362,RUS,2
2021-01-03,1923,DEU,2
2021-08-09,4139,ESP,1
2019-12-12,3448,ESP,1
2020-09-06,362,DEU,2
2021-05-11,2902,ITA,1
2021-06-18,362,USA,1
2019-11-27,3448,POL,2
2021-03-14,1923,AUS,7
2020-07-23,362,RUS,2
2021-06-04,1132,DEU,1
2021-01-23,1516,ITA,2
2020-06-05,362,RUS,1
2020-11-05,362,GRC,3
2021-05-14,3417,USA,2
2020-09-26,362,USA,3
2020-02-25,332,FRA,1
2020-09-30,3417,USA,1
2021-08-22,362,DEU,2
2020-09-01,1516,RUS,4
2021-06-28,332,DEU,1
2021-01-20,1923,BEL,2
2020-07-16,332,USA,2
2020-09-18,1132,FRA,1
2020-04-30,1132,SWE,5
2021-04-24,1516,FRA,3
2021-06-09,5984,RUS,14
2021-08-25,4139,GBR,1
2021-06-30,5984,ITA,2
2021-03-14,1579,GBR,3
2020-09-22,1579,RUS,1
2019-09-07,332,USA,1
2021-07-08,2902,DEU,1
2019-09-07,332,FRA,1
2020-12-08,1132,USA,2
2020-12-19,1579,USA,1
2019-09-13,3446,USA,1
2021-01-03,3448,AUS,10
2020-09-30,1132,RUS,2
